IP Address,Timestamp,Usage (Mbps)
192.168.1.15,09:29:56,5.49
192.168.1.15,09:29:57,16.35
192.168.1.15,09:29:58,15.54
192.168.1.15,09:29:59,40.49
192.168.1.15,09:30:00,24.38
192.168.1.15,09:30:01,7.98
192.168.1.15,09:30:02,42.54
192.168.1.15,09:30:03,17.74
192.168.1.22,09:29:15,6.69
192.168.1.22,09:29:16,6.29
192.168.1.22,09:29:17,5.28
192.168.1.22,09:29:18,1.17
192.168.1.22,09:29:19,4.41
192.168.1.22,09:29:20,5.08
192.168.1.22,09:29:21,2.02
192.168.1.22,09:29:22,3.11
192.168.1.22,09:29:23,8.88
192.168.1.22,09:29:24,2.08
192.168.1.22,09:29:25,6.88
192.168.1.22,09:29:26,2.94
192.168.1.22,09:29:27,1.32
192.168.1.22,09:29:29,5.3
192.168.1.22,09:29:29,1.94
192.168.1.22,09:29:31,1.58
192.168.1.22,09:29:31,5.63
192.168.1.22,09:29:32,7.67
192.168.1.22,09:29:33,7.94
192.168.1.22,09:29:35,3.25
192.168.1.22,09:29:36,1.07
192.168.1.22,09:29:37,7.1
192.168.1.22,09:29:37,6.35
192.168.1.22,09:29:38,7.43
192.168.1.22,09:29:39,1.56
192.168.1.22,09:29:40,8.71
192.168.1.22,09:29:40,3.99
192.168.1.22,09:29:41,4.82
192.168.1.22,09:29:42,8.85
192.168.1.22,09:29:43,4.46
192.168.1.22,09:29:44,1.87
192.168.1.22,09:29:45,6.82
192.168.1.22,09:29:46,8.13
192.168.1.22,09:29:47,3.53
192.168.1.22,09:29:48,2.01
192.168.1.22,09:29:49,8.34
192.168.1.22,09:29:50,1.7
192.168.1.22,09:29:51,3.26
192.168.1.22,09:29:52,8.8
192.168.1.22,09:29:53,7.76
192.168.1.22,09:29:54,5.51
192.168.1.22,09:29:55,8.08
192.168.1.22,09:29:56,7.58
192.168.1.22,09:29:57,6.12
192.168.1.22,09:29:58,7.03
192.168.1.22,09:29:59,1.83
192.168.1.22,09:30:00,5.91
192.168.1.22,09:30:01,3.67
192.168.1.22,09:30:02,6.14
192.168.1.22,09:30:03,6.92
192.168.1.50,09:29:15,1.59
192.168.1.50,09:29:16,3.87
192.168.1.50,09:29:17,2.61
192.168.1.50,09:29:18,3.79
192.168.1.50,09:29:19,4.46
192.168.1.50,09:29:20,0.94
192.168.1.50,09:29:21,3.19
192.168.1.50,09:29:22,3.52
192.168.1.50,09:29:23,2.26
192.168.1.50,09:29:24,3.2
192.168.1.50,09:29:25,3.84
192.168.1.50,09:29:26,2.71
192.168.1.50,09:29:27,3.06
192.168.1.50,09:29:29,4.16
192.168.1.50,09:29:29,3.53
192.168.1.50,09:29:31,4.21
192.168.1.50,09:29:31,2.45
192.168.1.50,09:29:32,3.4
192.168.1.50,09:29:33,2.18
192.168.1.50,09:29:35,3.07
192.168.1.50,09:29:36,4.34
192.168.1.50,09:29:37,2.5
192.168.1.50,09:29:37,3.06
192.168.1.50,09:29:38,4.49
192.168.1.50,09:29:39,2.35
192.168.1.50,09:29:40,1.97
192.168.1.50,09:29:40,3.59
192.168.1.50,09:29:41,3.13
192.168.1.50,09:29:42,3.51
192.168.1.50,09:29:43,0.56
192.168.1.50,09:29:44,1.46
192.168.1.50,09:29:45,1.35
192.168.1.50,09:29:46,0.76
192.168.1.50,09:29:47,1.5
192.168.1.50,09:29:48,2.6
192.168.1.50,09:29:49,4.18
192.168.1.50,09:29:50,3.79
192.168.1.50,09:29:51,2.54
192.168.1.50,09:29:52,0.73
192.168.1.50,09:29:53,2.18
192.168.1.50,09:29:54,2.14
192.168.1.50,09:29:55,1.78
192.168.1.50,09:29:56,0.71
192.168.1.50,09:29:57,0.65
192.168.1.50,09:29:58,1.47
192.168.1.50,09:29:59,2.74
192.168.1.50,09:30:00,4.33
192.168.1.50,09:30:01,4.08
192.168.1.50,09:30:02,1.46
192.168.1.50,09:30:03,2.67
192.168.56.255,09:29:15,3.43
192.168.56.255,09:29:16,2.52
192.168.56.255,09:29:17,1.0
192.168.56.255,09:29:18,4.41
192.168.56.255,09:29:19,1.65
192.168.56.255,09:29:20,0.86
192.168.56.255,09:29:21,2.02
192.168.56.255,09:29:22,3.65
192.168.56.255,09:29:23,2.53
192.168.56.255,09:29:24,0.99
192.168.56.255,09:29:25,3.47
192.168.56.255,09:29:26,0.63
192.168.56.255,09:29:27,4.43
192.168.56.255,09:29:29,3.81
192.168.56.255,09:29:29,3.38
192.168.56.255,09:29:31,2.68
192.168.56.255,09:29:31,2.23
192.168.56.255,09:29:32,1.38
192.168.56.255,09:29:33,0.67
192.168.56.255,09:29:35,1.15
192.168.56.255,09:29:36,2.16
192.168.56.255,09:29:37,1.53
192.168.56.255,09:29:37,1.65
192.168.56.255,09:29:38,2.35
192.168.56.255,09:29:39,1.7
192.168.56.255,09:29:40,1.81
192.168.56.255,09:29:40,1.78
192.168.56.255,09:29:41,3.27
192.168.56.255,09:29:42,1.82
192.168.56.255,09:29:43,1.81
192.168.56.255,09:29:44,0.7
192.168.56.255,09:29:45,1.78
192.168.56.255,09:29:46,3.36
192.168.56.255,09:29:47,4.07
192.168.56.255,09:29:48,2.82
192.168.56.255,09:29:49,2.58
192.168.56.255,09:29:50,1.35
192.168.56.255,09:29:51,1.58
192.168.56.255,09:29:52,1.67
192.168.56.255,09:29:53,3.6
192.168.56.255,09:29:54,3.01
192.168.56.255,09:29:55,0.54
192.168.56.255,09:29:56,2.61
192.168.56.255,09:29:57,2.37
192.168.56.255,09:29:58,1.79
192.168.56.255,09:29:59,2.34
192.168.56.255,09:30:00,2.61
192.168.56.255,09:30:01,1.78
192.168.56.255,09:30:02,2.3
192.168.56.255,09:30:03,3.66
224.0.0.22,09:29:40,1.67
224.0.0.22,09:29:40,3.55
224.0.0.22,09:29:40,3.97
224.0.0.22,09:29:40,1.08
224.0.0.22,09:29:41,1.71
224.0.0.22,09:29:41,4.37
224.0.0.22,09:29:42,2.58
224.0.0.22,09:29:42,1.44
224.0.0.22,09:29:43,2.55
224.0.0.22,09:29:43,2.9
224.0.0.22,09:29:44,0.88
224.0.0.22,09:29:44,1.82
224.0.0.22,09:29:45,1.42
224.0.0.22,09:29:45,1.64
224.0.0.22,09:29:46,3.29
224.0.0.22,09:29:46,3.94
224.0.0.22,09:29:47,3.73
224.0.0.22,09:29:47,1.71
224.0.0.22,09:29:48,1.04
224.0.0.22,09:29:48,4.34
224.0.0.22,09:29:49,2.86
224.0.0.22,09:29:49,1.26
224.0.0.22,09:29:50,1.21
224.0.0.22,09:29:50,3.99
224.0.0.22,09:29:51,0.94
224.0.0.22,09:29:51,1.62
224.0.0.22,09:29:52,0.64
224.0.0.22,09:29:52,1.32
224.0.0.22,09:29:53,1.19
224.0.0.22,09:29:53,3.54
224.0.0.22,09:29:54,2.53
224.0.0.22,09:29:54,3.37
224.0.0.22,09:29:55,4.09
224.0.0.22,09:29:55,1.22
224.0.0.22,09:29:56,4.15
224.0.0.22,09:29:56,1.67
224.0.0.22,09:29:57,4.23
224.0.0.22,09:29:57,2.79
224.0.0.22,09:29:58,4.48
224.0.0.22,09:29:58,1.39
224.0.0.22,09:29:59,0.89
224.0.0.22,09:29:59,3.67
224.0.0.22,09:30:00,1.38
224.0.0.22,09:30:00,3.17
224.0.0.22,09:30:01,3.07
224.0.0.22,09:30:01,2.35
224.0.0.22,09:30:02,3.87
224.0.0.22,09:30:02,3.94
224.0.0.22,09:30:03,1.67
224.0.0.22,09:30:03,3.12
224.0.0.251,09:29:40,2.99
224.0.0.251,09:29:40,4.45
224.0.0.251,09:29:40,4.26
224.0.0.251,09:29:40,2.95
224.0.0.251,09:29:41,3.7
224.0.0.251,09:29:41,2.47
224.0.0.251,09:29:42,1.3
224.0.0.251,09:29:42,4.38
224.0.0.251,09:29:43,0.86
224.0.0.251,09:29:43,1.85
224.0.0.251,09:29:44,0.73
224.0.0.251,09:29:44,1.84
224.0.0.251,09:29:45,4.5
224.0.0.251,09:29:45,3.18
224.0.0.251,09:29:46,2.65
224.0.0.251,09:29:46,3.05
224.0.0.251,09:29:47,3.3
224.0.0.251,09:29:47,1.58
224.0.0.251,09:29:48,3.45
224.0.0.251,09:29:48,1.83
224.0.0.251,09:29:49,2.94
224.0.0.251,09:29:49,2.58
224.0.0.251,09:29:50,1.83
224.0.0.251,09:29:50,3.4
224.0.0.251,09:29:51,4.14
224.0.0.251,09:29:51,3.55
224.0.0.251,09:29:52,1.25
224.0.0.251,09:29:52,0.68
224.0.0.251,09:29:53,0.72
224.0.0.251,09:29:53,2.37
224.0.0.251,09:29:54,0.88
224.0.0.251,09:29:54,1.71
224.0.0.251,09:29:55,4.17
224.0.0.251,09:29:55,1.23
224.0.0.251,09:29:56,3.36
224.0.0.251,09:29:56,1.33
224.0.0.251,09:29:57,4.42
224.0.0.251,09:29:57,1.39
224.0.0.251,09:29:58,3.01
224.0.0.251,09:29:58,2.81
224.0.0.251,09:29:59,1.98
224.0.0.251,09:29:59,4.17
224.0.0.251,09:30:00,4.36
224.0.0.251,09:30:00,0.66
224.0.0.251,09:30:01,2.06
224.0.0.251,09:30:01,4.21
224.0.0.251,09:30:02,2.75
224.0.0.251,09:30:02,1.79
224.0.0.251,09:30:03,4.06
224.0.0.251,09:30:03,2.6
224.0.0.252,09:29:40,3.52
224.0.0.252,09:29:40,1.93
224.0.0.252,09:29:40,1.11
224.0.0.252,09:29:40,3.74
224.0.0.252,09:29:41,3.1
224.0.0.252,09:29:41,3.71
224.0.0.252,09:29:42,3.56
224.0.0.252,09:29:42,2.64
224.0.0.252,09:29:43,2.31
224.0.0.252,09:29:43,1.75
224.0.0.252,09:29:44,3.3
224.0.0.252,09:29:44,3.19
224.0.0.252,09:29:45,3.64
224.0.0.252,09:29:45,1.19
224.0.0.252,09:29:46,2.5
224.0.0.252,09:29:46,2.43
224.0.0.252,09:29:47,4.43
224.0.0.252,09:29:47,3.82
224.0.0.252,09:29:48,1.32
224.0.0.252,09:29:48,1.36
224.0.0.252,09:29:49,1.07
224.0.0.252,09:29:49,1.46
224.0.0.252,09:29:50,1.02
224.0.0.252,09:29:50,1.89
224.0.0.252,09:29:51,2.54
224.0.0.252,09:29:51,4.39
224.0.0.252,09:29:52,2.34
224.0.0.252,09:29:52,3.69
224.0.0.252,09:29:53,1.0
224.0.0.252,09:29:53,3.29
224.0.0.252,09:29:54,4.1
224.0.0.252,09:29:54,4.18
224.0.0.252,09:29:55,4.03
224.0.0.252,09:29:55,0.67
224.0.0.252,09:29:56,2.23
224.0.0.252,09:29:56,1.53
224.0.0.252,09:29:57,1.14
224.0.0.252,09:29:57,1.08
224.0.0.252,09:29:58,4.26
224.0.0.252,09:29:58,2.65
224.0.0.252,09:29:59,4.25
224.0.0.252,09:29:59,3.63
224.0.0.252,09:30:00,1.62
224.0.0.252,09:30:00,0.78
224.0.0.252,09:30:01,0.93
224.0.0.252,09:30:01,3.97
224.0.0.252,09:30:02,3.6
224.0.0.252,09:30:02,0.85
224.0.0.252,09:30:03,2.99
224.0.0.252,09:30:03,3.15
239.255.255.250,09:29:40,3.77
239.255.255.250,09:29:40,1.61
239.255.255.250,09:29:40,3.29
239.255.255.250,09:29:40,0.72
239.255.255.250,09:29:41,3.91
239.255.255.250,09:29:41,2.96
239.255.255.250,09:29:42,3.5
239.255.255.250,09:29:42,4.02
239.255.255.250,09:29:43,3.13
239.255.255.250,09:29:43,1.73
239.255.255.250,09:29:44,0.98
239.255.255.250,09:29:44,1.17
239.255.255.250,09:29:45,1.04
239.255.255.250,09:29:45,1.43
239.255.255.250,09:29:46,2.02
239.255.255.250,09:29:46,3.9
239.255.255.250,09:29:47,0.89
239.255.255.250,09:29:47,0.8
239.255.255.250,09:29:48,2.16
239.255.255.250,09:29:48,2.46
239.255.255.250,09:29:49,0.98
239.255.255.250,09:29:49,2.87
239.255.255.250,09:29:50,1.53
239.255.255.250,09:29:50,0.73
239.255.255.250,09:29:51,0.87
239.255.255.250,09:29:51,1.71
239.255.255.250,09:29:52,4.16
239.255.255.250,09:29:52,3.11
239.255.255.250,09:29:53,4.26
239.255.255.250,09:29:53,1.73
239.255.255.250,09:29:54,0.74
239.255.255.250,09:29:54,4.31
239.255.255.250,09:29:55,4.01
239.255.255.250,09:29:55,1.09
239.255.255.250,09:29:56,3.24
239.255.255.250,09:29:56,2.73
239.255.255.250,09:29:57,0.73
239.255.255.250,09:29:57,0.98
239.255.255.250,09:29:58,0.85
239.255.255.250,09:29:58,0.59
239.255.255.250,09:29:59,2.57
239.255.255.250,09:29:59,2.65
239.255.255.250,09:30:00,1.19
239.255.255.250,09:30:00,3.6
239.255.255.250,09:30:01,2.44
239.255.255.250,09:30:01,0.6
239.255.255.250,09:30:02,3.2
239.255.255.250,09:30:02,1.42
239.255.255.250,09:30:03,2.42
239.255.255.250,09:30:03,2.39
10.255.84.83,09:29:15,4.11
10.255.84.83,09:29:16,4.23
10.255.84.83,09:29:17,4.02
10.255.84.83,09:29:18,2.31
10.255.84.83,09:29:19,1.89
10.255.84.83,09:29:20,1.97
10.255.84.83,09:29:21,1.07
10.255.84.83,09:29:22,1.65
10.255.84.83,09:29:23,3.5
10.255.84.83,09:29:24,1.98
10.255.84.83,09:29:25,3.12
10.255.84.83,09:29:26,2.04
10.255.84.83,09:29:27,2.88
10.255.84.83,09:29:29,2.28
10.255.84.83,09:29:29,2.46
10.255.84.83,09:29:31,1.39
10.255.84.83,09:29:31,0.83
10.255.84.83,09:29:32,2.67
10.255.84.83,09:29:33,0.53
10.255.84.83,09:29:35,1.33
10.255.84.83,09:29:36,1.3
10.255.84.83,09:29:37,3.78
10.255.84.83,09:29:37,3.12
10.255.84.83,09:29:38,1.13
10.255.84.83,09:29:39,1.2
10.255.84.83,09:29:40,1.54
10.255.84.83,09:29:40,4.09
10.255.84.83,09:29:41,3.09
10.255.84.83,09:29:42,1.95
10.255.84.83,09:29:43,1.88
10.255.84.83,09:29:44,4.34
10.255.84.83,09:29:45,2.06
10.255.84.83,09:29:46,1.92
10.255.84.83,09:29:47,0.92
10.255.84.83,09:29:48,3.95
10.255.84.83,09:29:49,3.63
10.255.84.83,09:29:50,2.36
10.255.84.83,09:29:51,2.18
10.255.84.83,09:29:52,1.79
10.255.84.83,09:29:53,1.0
10.255.84.83,09:29:54,4.49
10.255.84.83,09:29:55,1.2
10.255.84.83,09:29:56,1.74
10.255.84.83,09:29:57,3.4
10.255.84.83,09:29:58,3.44
10.255.84.83,09:29:59,0.97
10.255.84.83,09:30:00,1.82
10.255.84.83,09:30:01,3.3
10.255.84.83,09:30:02,1.89
10.255.84.83,09:30:03,3.18
10.255.84.255,09:29:15,4.25
10.255.84.255,09:29:16,2.27
10.255.84.255,09:29:17,3.88
10.255.84.255,09:29:18,4.45
10.255.84.255,09:29:19,2.14
10.255.84.255,09:29:20,2.72
10.255.84.255,09:29:21,1.84
10.255.84.255,09:29:22,1.45
10.255.84.255,09:29:23,3.72
10.255.84.255,09:29:24,1.39
10.255.84.255,09:29:25,1.96
10.255.84.255,09:29:26,2.01
10.255.84.255,09:29:27,4.32
10.255.84.255,09:29:29,3.36
10.255.84.255,09:29:29,2.29
10.255.84.255,09:29:31,3.43
10.255.84.255,09:29:31,0.77
10.255.84.255,09:29:32,0.65
10.255.84.255,09:29:33,4.44
10.255.84.255,09:29:35,0.75
10.255.84.255,09:29:36,1.1
10.255.84.255,09:29:37,3.5
10.255.84.255,09:29:37,3.12
10.255.84.255,09:29:38,0.87
10.255.84.255,09:29:39,2.37
10.255.84.255,09:29:40,3.72
10.255.84.255,09:29:40,4.39
10.255.84.255,09:29:41,3.16
10.255.84.255,09:29:42,0.74
10.255.84.255,09:29:43,1.21
10.255.84.255,09:29:44,1.56
10.255.84.255,09:29:45,3.69
10.255.84.255,09:29:46,3.86
10.255.84.255,09:29:47,2.81
10.255.84.255,09:29:48,3.9
10.255.84.255,09:29:49,2.17
10.255.84.255,09:29:50,1.56
10.255.84.255,09:29:51,0.8
10.255.84.255,09:29:52,3.27
10.255.84.255,09:29:53,4.23
10.255.84.255,09:29:54,0.97
10.255.84.255,09:29:55,3.59
10.255.84.255,09:29:56,0.5
10.255.84.255,09:29:57,1.11
10.255.84.255,09:29:58,3.1
10.255.84.255,09:29:59,3.71
10.255.84.255,09:30:00,3.31
10.255.84.255,09:30:01,1.14
10.255.84.255,09:30:02,2.84
10.255.84.255,09:30:03,1.03
255.255.255.255,09:29:15,3.3
255.255.255.255,09:29:16,2.27
255.255.255.255,09:29:17,0.85
255.255.255.255,09:29:18,3.86
255.255.255.255,09:29:19,3.94
255.255.255.255,09:29:20,2.34
255.255.255.255,09:29:21,1.68
255.255.255.255,09:29:22,3.7
255.255.255.255,09:29:23,0.78
255.255.255.255,09:29:24,3.06
255.255.255.255,09:29:25,2.89
255.255.255.255,09:29:26,1.21
255.255.255.255,09:29:27,1.33
255.255.255.255,09:29:29,2.86
255.255.255.255,09:29:29,2.83
255.255.255.255,09:29:31,0.67
255.255.255.255,09:29:31,0.63
255.255.255.255,09:29:32,2.41
255.255.255.255,09:29:33,1.29
255.255.255.255,09:29:35,3.49
255.255.255.255,09:29:36,1.23
255.255.255.255,09:29:37,2.75
255.255.255.255,09:29:37,3.55
255.255.255.255,09:29:38,3.92
255.255.255.255,09:29:39,2.13
255.255.255.255,09:29:40,2.0
255.255.255.255,09:29:40,1.55
255.255.255.255,09:29:41,4.11
255.255.255.255,09:29:42,1.22
255.255.255.255,09:29:43,1.89
255.255.255.255,09:29:44,2.35
255.255.255.255,09:29:45,3.77
255.255.255.255,09:29:46,0.63
255.255.255.255,09:29:47,1.37
255.255.255.255,09:29:48,2.37
255.255.255.255,09:29:49,4.26
255.255.255.255,09:29:50,2.88
255.255.255.255,09:29:51,1.82
255.255.255.255,09:29:52,1.7
255.255.255.255,09:29:53,2.75
255.255.255.255,09:29:54,0.95
255.255.255.255,09:29:55,3.59
255.255.255.255,09:29:56,2.92
255.255.255.255,09:29:57,4.32
255.255.255.255,09:29:58,1.52
255.255.255.255,09:29:59,2.35
255.255.255.255,09:30:00,1.64
255.255.255.255,09:30:01,1.64
255.255.255.255,09:30:02,1.51
255.255.255.255,09:30:03,0.79
